time_ns,time_s,q0,q1,q2,q3,q4,q5
1778147912116301695,1778147912.1163018,-2.268496815358297,-0.9851240080646058,-1.915656328201294,-1.2381374698928376,1.0176414251327515,0.7405751347541809
1778147912136372144,1778147912.1363723,-2.268528763447897,-0.9850751918605347,-1.9156438112258911,-1.238128976230957,1.0176126956939697,0.7405834197998047
1778147912156234818,1778147912.156235,-2.268512550984518,-0.9850994509509583,-1.9156763553619385,-1.2381616693786164,1.0175682306289673,0.74057936668396
1778147912176483184,1778147912.1764832,-2.2685368696795862,-0.9850877088359375,-1.9156805276870728,-1.2381701332381745,1.0175725221633911,0.74057936668396
1778147912196267778,1778147912.1962678,-2.2684806028949183,-0.9850585621646424,-1.9156763553619385,-1.2381700438312073,1.0176163911819458,0.7405508160591125
1778147912216181445,1778147912.2161815,-2.2685492674456995,-0.9850793045810242,-1.9157004356384277,-1.2381783586791535,1.01762056350708,0.7405751347541809
1778147912236219682,1778147912.2362196,-2.2685535589801233,-0.9850877088359375,-1.9156639575958252,-1.2381659311107178,1.01759672164917,0.7405954003334045
1778147912256244267,1778147912.2562444,-2.2685206572162073,-0.9850953978351136,-1.915659785270691,-1.2381742161563416,1.017673373222351,0.7405751347541809
1778147912276508942,1778147912.276509,-2.2684925238238733,-0.985136405830719,-1.9156479835510254,-1.2381742161563416,1.0176693201065063,0.7405427694320679
1778147912296309800,1778147912.29631,-2.2685492674456995,-0.9851197165301819,-1.9156639575958252,-1.2381701332381745,1.0176162719726562,0.7405907511711121
1778147912316276319,1778147912.3162763,-2.2685168425189417,-0.9851154846004029,-1.9156723022460938,-1.2381616693786164,1.0175961256027222,0.740587055683136
1778147912336443214,1778147912.3364432,-2.268496815358297,-0.9851280015758057,-1.9156479835510254,-1.2381902498057862,1.0175806283950806,0.7405383586883545
1778147912356296168,1778147912.3562963,-2.268500630055563,-0.9851113718799134,-1.9156681299209595,-1.2381861370852967,1.0176573991775513,0.7405301928520203
1778147912376484138,1778147912.3764842,-2.26848012605776,-0.9850834173015137,-1.9156802892684937,-1.2381575864604493,1.0176650285720825,0.7405954003334045
1778147912396390086,1778147912.3963902,-2.26854116121401,-0.9850994509509583,-1.915676474571228,-1.2382103365710755,1.0176372528076172,0.7405794262886047
1778147912418510329,1778147912.4185104,-2.268524471913473,-0.9850585621646424,-1.9156438112258911,-1.2382062834552308,1.0176448822021484,0.7405628561973572
1778147912436390108,1778147912.4363902,-2.2685368696795862,-0.985102967625,-1.915676474571228,-1.238178328876831,1.0176329612731934,0.7405710220336914
1778147912456490443,1778147912.4564905,-2.2685368696795862,-0.9851280015758057,-1.9156968593597412,-1.2382223767093201,1.0176414251327515,0.7405633330345154
1778147912476447528,1778147912.4764476,-2.2684930006610315,-0.9850626748851319,-1.9156520366668701,-1.2381456655314942,1.0176329612731934,0.7405751347541809
1778147912496394064,1778147912.4963942,-2.2685368696795862,-0.9850793045810242,-1.9156520366668701,-1.2382027071765442,1.017628788948059,0.7405669093132019
1778147912516556555,1778147912.5165567,-2.268472973500387,-0.9850994509509583,-1.9156802892684937,-1.2381582719138642,1.0176128149032593,0.7405669093132019
1778147912536391794,1778147912.5363917,-2.2685368696795862,-0.9850667280009766,-1.9157005548477173,-1.2381742757609864,1.01762056350708,0.7405383586883545
1778147912556254880,1778147912.556255,-2.2685330549823206,-0.9851154846004029,-1.9156681299209595,-1.238178328876831,1.017628788948059,0.740587055683136
1778147912576368175,1778147912.5763683,-2.268545452748434,-0.9850953382304688,-1.9156603813171387,-1.2381499272635956,1.0176693201065063,0.7405549883842468
1778147912596535562,1778147912.5965357,-2.26854116121401,-0.9850834173015137,-1.9157005548477173,-1.2381616693786164,1.0176122188568115,0.7405829429626465
1778147912616516816,1778147912.616517,-2.268561665211813,-0.9851037424853821,-1.9156603813171387,-1.2381659311107178,1.0176045894622803,0.7405591011047363
1778147912636464590,1778147912.6364648,-2.2685330549823206,-0.985050694351532,-1.915676474571228,-1.2382306319526215,1.0176372528076172,0.740534245967865
1778147912656344150,1778147912.6563442,-2.268557373677389,-0.9850626152804871,-1.9156360626220703,-1.2381779712489625,1.0176002979278564,0.7405627965927124
1778147912676310610,1778147912.6763105,-2.268524471913473,-0.9850710195354004,-1.9157047271728516,-1.2381659311107178,1.0176039934158325,0.7405140995979309
1778147912697513373,1778147912.6975136,-2.268528763447897,-0.9850877088359375,-1.9156805276870728,-1.2381456953338166,1.01762056350708,0.7405424118041992
