time_ns,time_s,qd0,qd1,qd2,qd3,qd4,qd5
1778147626193934438,1778147626.1939344,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147626213853619,1778147626.2138538,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147626233829158,1778147626.2338293,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147626253914843,1778147626.253915,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147626273878153,1778147626.2738783,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147626293800960,1778147626.293801,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147626313865809,1778147626.313866,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147626334754224,1778147626.3347545,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147626353885504,1778147626.3538857,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147626374008634,1778147626.3740087,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147626393922666,1778147626.3939226,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147626413927085,1778147626.4139273,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147626433877153,1778147626.4338775,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147626454207368,1778147626.4542077,0.0,-0.0,-0.0,0.0,-9.423024494026322e-06,0.0
1778147626473812820,1778147626.4738128,0.0,-0.0,-0.0,0.0,6.360423340491745e-18,0.0
1778147626493963163,1778147626.4939635,0.0,-0.0,-0.0,0.0,4.971343962411838e-38,0.0
1778147626513977552,1778147626.5139778,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147626533833711,1778147626.5338337,0.0,-5.334051706995524e-07,-0.0,0.0,0.0,0.0
1778147626553985993,1778147626.553986,0.0,-2.640891791274441e-13,-0.0,0.0,0.0,0.0
1778147626573959970,1778147626.57396,0.0,-1.307506816674554e-19,-0.0,0.0,0.0,0.0
1778147626594240289,1778147626.5942404,0.0,-6.473472706929309e-26,-0.0,0.0,0.0,0.0
1778147626613844519,1778147626.6138446,0.0,-3.205019142979553e-32,-0.0,0.0,0.0,0.0
1778147626633939678,1778147626.6339397,0.0,-1.5868065589275293e-38,-0.0,0.0,0.0,0.0
1778147626653916361,1778147626.6539166,0.0,-8.407790785948902e-45,-0.0,0.0,0.0,0.0
1778147626673828532,1778147626.6738286,1.956096526076201e-12,-0.0,-0.0,0.0,0.0,0.0
1778147626693917625,1778147626.6939178,9.684644053455802e-19,-0.0,-0.0,0.0,0.0,0.0
