time_ns,time_s,x,y,z,rx,ry,rz
1778147017725754880,1778147017.725755,-0.4075114868385048,-0.03394786894799005,0.8092200567917227,-1.8082251042709454,-1.7491583262198225,0.7558143575888239
1778147017745694347,1778147017.7456946,-0.4075308719988401,-0.03393589659217475,0.8091867031678098,-1.8083049111279255,-1.7490817428414849,0.7557428244048437
1778147017765738089,1778147017.765738,-0.4075279398632371,-0.033934245067785744,0.8091702750373135,-1.8083102865102707,-1.7491192701182476,0.7556745863161737
1778147017785745685,1778147017.7857459,-0.4074816278515655,-0.03391214443847696,0.8092523220167079,-1.8082762026528654,-1.7490780796082641,0.7559338412901215
1778147017806178751,1778147017.8061788,-0.4074917008433125,-0.03389774724631376,0.809214463596661,-1.8082487571942973,-1.7490821598255322,0.7557578577784899
1778147017825846196,1778147017.8258464,-0.40751184055981915,-0.033936154303601904,0.8091937595078227,-1.8082854794574792,-1.7491539457236087,0.7557953438934754
1778147017850297508,1778147017.8502977,-0.40750735617266765,-0.03392375408396688,0.8092174832474645,-1.8082808828600185,-1.7491509591067569,0.755773666968943
1778147017865770697,1778147017.8657708,-0.4075127264612209,-0.033905841968266945,0.8092061322288084,-1.808350728226733,-1.7490018396101157,0.7557813097233741
1778147017885819478,1778147017.8858194,-0.4075005056699426,-0.033916316649203616,0.8092118564810874,-1.8082650421166262,-1.749084635428575,0.7557957977640813
1778147017905758348,1778147017.9057586,-0.4075228787627383,-0.033937803466457056,0.8091773971022608,-1.8083192014660487,-1.7491058873723604,0.7556931181874628
1778147017925752422,1778147017.9257524,-0.40749251104205714,-0.033925577888062546,0.8092347484572002,-1.8082509039205859,-1.7490838000906959,0.7558602908130666
1778147017945873627,1778147017.9458737,-0.40748097145529616,-0.033910959963408406,0.8092333003950757,-1.8082689964285859,-1.7490909970617936,0.7558808789323705
1778147017965865812,1778147017.9658659,-0.40749196283852307,-0.03388364296932345,0.8092292772405767,-1.8083012532972162,-1.7490297970236042,0.7558258592116722
1778147017985638757,1778147017.9856389,-0.4074927340471909,-0.03392289400088518,0.809240811055641,-1.8082151576949064,-1.7491204500886763,0.755826954964915
1778147018005793821,1778147018.0057938,-0.40749161994610916,-0.033911402679096085,0.8092270828338719,-1.8082539484720352,-1.7490628789739968,0.7558570412258563
1778147018025713049,1778147018.0257132,-0.4075174816363181,-0.03393379758905895,0.8091993482302269,-1.8082768299274843,-1.7491295469918318,0.7557540355816975
1778147018045770849,1778147018.045771,-0.4075033408022794,-0.033922473960347414,0.8091920532018392,-1.8082692190335012,-1.7491407455396362,0.7557294921379949
1778147018065769596,1778147018.0657697,-0.40747670426142235,-0.03389519115243248,0.8092273486139118,-1.80825199914966,-1.749102009100215,0.755798518764649
1778147018085743338,1778147018.0857434,-0.40751174012172053,-0.03393744187273297,0.8092062312795764,-1.8082575431259844,-1.7491557795564985,0.7557704503950015
