time_ns,time_s,fx,fy,fz,tx,ty,tz
1778147817260373078,1778147817.260373,0.14782859290196756,0.11206059618671259,-0.16815859761142338,-0.08686759224910257,-0.017865677536144854,-0.08184736607702418
1778147817280390352,1778147817.2803905,0.15621959569682964,0.22971673316134922,0.033520872222196005,-0.08688231861040065,-0.010932215958745623,-0.08707848698462495
1778147817300380972,1778147817.300381,0.05361402434979655,0.607308989709356,-0.2832676582205858,-0.08825169266188396,-0.006866029770380828,-0.07695818866330534
1778147817320404804,1778147817.3204048,0.21803008405576405,-0.06583901319289195,0.071892859431766,-0.07053752794469925,-0.007813302195857803,-0.09230895219602359
1778147817340728549,1778147817.3407288,-0.02624107003451856,-0.2348533375638307,-0.18011315706338674,-0.07689432615526832,-0.0014615970612198632,-0.0997515269610997
1778147817360330383,1778147817.3603306,0.17095845240683782,-0.13866423158119226,-0.16016737660609023,-0.07588812757183887,-0.008100614723539092,-0.09487102028602669
1778147817380483494,1778147817.3804836,0.12353676052254589,0.6379468716259825,-0.4068385754738286,-0.08796108126990881,-0.003494805398754766,-0.06550148079015058
1778147817400398429,1778147817.4003985,0.5673405232600834,0.819553127039074,-0.6705193195907696,-0.09601126086909362,0.0029115381200151723,-0.07868725730435588
1778147817420387545,1778147817.4203877,0.45079008956773514,0.4350314708308458,-0.5864904970122207,-0.08251321394204285,0.004258738615112324,-0.08314971792868013
1778147817440409040,1778147817.4404092,0.0007895679830621366,-0.828367967733332,-0.12730227454479193,-0.06071745575001035,-0.013921859690313993,-0.107954082224277
1778147817460663218,1778147817.4606633,0.5810577131740372,0.12194212701468894,-0.442006045639075,-0.08810239149875587,0.008488087049007546,-0.0893871042713026
1778147817480478735,1778147817.4804788,0.35282512932324595,0.004725087165787154,-0.24037885708314072,-0.09341964737601124,-0.00969361539049917,-0.09080573001864228
1778147817500382874,1778147817.5003831,0.4030020458541613,-0.41212498696169714,-0.2288428011974475,-0.07253884223625273,-0.004737729422730952,-0.1035231616013182
1778147817520476587,1778147817.5204768,-0.141599442198496,0.43347414322736527,-0.044526910610111825,-0.08628686069940072,-0.016102214609652464,-0.08299502935500891
1778147817540634889,1778147817.540635,-0.3158377118775567,-0.32805792246116183,-0.12593337496599666,-0.07080726626139945,-0.00828184166730652,-0.09541868163524082
